ID,Tweets,Labels
2,So chuga si tunakutana kesho kwenye Nyamachoma festival nanenanemnajifanyaga mnakula mtungi mje kesho niwakalishe,0
3,   Asante sana watu wa Sirari jimbo la Tarime vijijini Huu ni Upendo usio na Mashaka kwa Mbunge wenu John Heche na Chadem,1
5,   Leo nimepata kitambulisho changu cha taifa Asante sana,1
6,   Mgema akisifiwa tembo hulitia maji,0
8,Ee Mwenyezi Mungu Msamehe na Umrehemu na Umuafu na Msamehe na Mtukuze kushuka kwake kaburini na Upanue kuingia kwake na Muoshe na maji na kwa theluji na barafu na Mtakase na makosa kama Unavyoitakasa nguo nyeupe kutokana na uchafu na Mbadilishie nyumba bora kuliko,1
11,   Kama wewe ni mfanyabiashara au mfanyakazi unaweza ukatumia data kwa jinsi ambayo italeta matokeo chanya katika kazi na biash,1
12,Asante na tafadhali subiri tutawasiliana nawe kwa msaada zaidi Gift,1
13,HILO NI NENO NALO  Kujali kuna ubora zaidi kuliko kupenda na lau wenginiambia ni chague kati ya mtu anayenipenda na mtu anayenijali basi ningelimchagua mtu ambaye anayenifurahisha kwa kunijali kwake Kwani hakuna faida yoyote ile kupenda bila kujali,0
14,   Watoto hawa yatima wa kituo cha Huruma Geita wamejitokeza kushiriki nami Kilimanjaro Challenge Against HIVAIDS leo,1
16,Kwani unawaza mzigo wako utaupata lini ulionunua China dubai Turkey nk TRA inakupa urahisi wakupata mizigo,1
17,    Takwimu zinaonyesha katika kila watoto 100 27 wanapata mimba kabla ya kufika miaka 18,0
19,   NAFASI YA KAZI KUTOKA VODACOM TANZANIA Bonyeza hapa kusoma zaidi,0
22,Yule wa nyuma mwishoo kabisa alievaa miwan ni Jirani ake na Babu yangu,0
24,Kwa hiyo kama ilivyokuja kwenye aya hiyo ni juu yetu Sisi wanadamu kumuitikia Mola wetu Mlezi Mtukufu na mtume wake wanapotuita kupitia Quran na Sunnah kwenye mambo yatakayofanya maisha yetu ya hapa duniani na akhera yawe mazuri,0
25,Sio watu wazuri awa Nakutana nao FA Cup nawafahamu awa,-1
26,UHURU  JUMATANO  JUNI 19  UKWELI DAIMA Linapatikana mtaani kwako sasa kwa bei ile ile ya Tsh 1000 tu wahi nakala yako 2019,0
28,Pole ndugu mteja tunaweza kupata taarifa zako pamoja na mawasiliamno yako,0
29,   Ndugu uongozi si akili ya darasani ni karama Ndo sababu pamoja na akili zao bado wameshindwa,0
30,Tafadhali fahamu tutawasiliana nawe punde kwa msaada zaidiGift,0
31,Katibu Mkuu Kiongozi Balozi John Kijazi akisoma majina ya viongozi mbalimbali walioteuliwa na Rais Dkt Magufuli Ikulu Jijini DSM Leo Jumapili Januari 272019 Part 02,0
32,Pole sana kwa usumbufu uliojitokezatunaomba utufahamisha tatizo lako tukuhudumiechangamoto uliyotueleza ya call centre tunaifanyia kazi,0
33,   i support youDKs wake up amp realise your potentialNjooni huku mfanye kazi na mjifunze Msisikize negativity kwe,0
35,   Mashine ikanyooshwa ikakaaaa Kazi za No janja janja,0
36,Kwani tanesco wanakataga umeme makusudinadhani kuna changamoto behind zinatakiwa zitatuliwe na sio kutoa matamko,-1
37,hongera sana champ niakujituma na dua ndio kila kitu,1
38,unaweza kuwa mfanyabiashara lakini usiwe mjasiliamali Unawz ukaqamjasiliamlimfanyabiashara pia,0
39,TOENI DAWA KULINGANA NA MIONGOZO YA SERIKALI via,0
41,   Tanzania Hii Ukiwa Boyfriend Unakuwa Na Majukumu Makubwa Kuliko Hata Kuwa Baba Mzazi,0
43,   Maisha ni kama hivi kwa mtumiaji wa huduma za TTCL Fanikisha shughuli zako bila stress refusha maisha kwa tabasamu,0
46,   Mtanzania halisi hashindwi chochote unachouliza anajua na yuko tayal kukupatia majibu hata kama ya uongo,0
47,Viwango vyetu vya kubadilishia fedha za kigeni leo tarehe 18 August 2018,1
48,   Kindly Retweet My Pinned Post na Kama Una swali Uliza pale Nitakujib DM nashindwa kujibu,0
50,   Kampuni ya imedhamiria kupanua shughuli zao zinazohusiana na Kwa kutoa elimu na kuh,0
51,   Hatua za Serikali  Elimu ya Awali Zaidi ya walimu 16129 kutoka shule za serikali wa madarasa ya Awali wamepatiwa mafunzo y,0
52,   WordSema lowkey hii siku hizi ni kama Mbio za Vijiti between First and Last Born The moment Last Born ukimaliza Ch,0
53,Kikosi cha Al Masry kimewasili asubuhi ya leo nchini kwa ajili ya mchezo wa Kombe la Shirikisho,0
54,Tafadhali rejea ujumbe tuliokutumia dmnk,0
55,Habari yako Saimon Samahani promosheni ya kushare bango na kujipatia tiketi ya kucheza Jackpot bure ilikuwa ni ya muda kwa sasa haipo Tunaomba uendelee kucheza Jackpot kwa Tsh 2000 tu kwa kila mkeka Endapo kutakuwa na promosheni nyingin,0
56,   Halafu anatagiwa atume 15k while hiyo ndio ilikuwa Budget yake ya Lunch Dinner na Bia 2 akalaleBoychild Tunateseka,-1
58,Hawajakujazia DM kweli Asiyekuwa na mpunguze,0
59,   Dunia iweke tuzo za wachukiaji,0
61,   Maoni Huenda wahitimu wa sasa hawana maarifa yanayotakiwa katika soko la ajira ,0
62,cjawahi kuona content yoyote zaidi ya kuwa analalamika cjawahi kuona akitafuta solution ya tattizo zaid ya kulalamikabasi tutakuwa na Rais wa ajabu huwa mwaka 2045,-1
63,HabariTafadhali tutumie ujumbe kwenye inbox DM ukiambatanisha na maelezo yote yanayounga mkono tatizo lako ili tuweze kufanya uchunguzi kwa ajili yakoUnaweza kututumia ujumbe hapa Ahsante PA,1
64,   60 ZA CHEMA ALICHOLETA   Ulitangulia kuumbwa Ulimwengu mbingu na viijazavyo ikiwemo mwezi na jua uh,0
66,   He Wanawachangia Yoteeee,0
67,   Kuhusu simu kusababisha saratani cancer bado kuna mkanganyiko japo mpaka leo hakuna tafiti iliyothibitisha Simu hutoa,0
68,   Afu kama shati ujue labels zinakuaga kwa ndani kwa hiyo no one knows yani Kama umevaa HampM ZARA or label ya F,0
69,   Wanawake ndio chimbuko LA mazazi ya viumbe wengine upendo huruma na furaha hapa duniani Nyoyo zao nzur,1
70,   This Thursday In Shaa Allah itakua zamu ya Zuwena it is,0
71,Milo mitatu tuu yenyewe kwa hesabu kali ila bado hutaki kutumia Unataka kutesa watoto wa watu,0
72,Me mada watu wakishaanza kuhusisha dini tu waga najitoa NBio kwamba sina imani ila huwa najiepusha na majibizano kuhusu dini,0
73,Bomu lililokuwa limetegwa ndani ya gari likiwalenga wajenzi kutoka Uturuki limelipuka katika eneo la Afgoye kaskazini Magharibi mwa mji mkuu wa Mogadishu Somalia limeua watu wanne polisi wamesema,-1
74,   Yaani mambo yote ya maana ninayotweet humu mnasema ni ufala tu hakuna cha maana jamani hamjaona ata tweets za,0
76,   Kijijini Ilongelo lishe bora hunufaika familia nzima  Mradi wa Boresha Lishe unaotekelezwa kwa ushirikia,1
77,   Bodi ya Wakurugenzi ya Shirika la Reli Tanzania  TRC ikiongozwa na Mwenyekiti Prof John Kondoro yatembelea kambi za Ujenzi w,1
78,Sure NBC watajiongeza kuweka POS zao kwenye viwanja ili tuweze kulipa na kadi za visamaster milangoni,0
79,   Kwa dondoo za elimu afya michezo burudani utani na ucheshi ungana na kila jumamosi,1
80,   Kwa nini tusipande mazao ya malisho kwa ajili ya mifugo badala ya kutegemea uoto wa asili tu Tuambie mahi,0
81,   Kuna video inasambaa mitandaoni jamaa amemfumania mkewe akiwa na jamaa mwingine huku akimlalamikia jamaa akimwambia kw,-1
82,Unapata changamoto gani tafadhali,0
83,Viwavijeshi wanapita katika hatua kuu 6 za ukuaji katika hatua yake ya larvae mayai 10001500 hutagwa na larvae mmoja kwa mwezi Hatua pekee inayowezesha kusambaa kwa viwa vijeshi ni kipepeo ambao huruka kwa makundi na wanaweza kuruka hadi kilometa 1500,-1
84,eddylwiza vifurushi vya saizi yako hivyo vinaonekana katika menyu yako,0
